step,train_loss,val_loss,learning_rate,temperature,grad_norm,step_time_sec
31,4.9163,,3.100000e-05,0.0700,2.6251,2.5570
187,4.8439,,1.870000e-04,0.0705,0.2758,2.7827
78,4.8647,,7.800000e-05,0.0702,0.5342,3.1154
32,4.9010,,3.200000e-05,0.0700,2.7854,2.7840
79,4.8645,,7.900000e-05,0.0702,0.6343,2.5646
188,4.8537,,1.880000e-04,0.0705,0.3140,2.8255
33,4.9145,,3.300000e-05,0.0700,2.8134,1.9569
189,4.8394,,1.890000e-04,0.0705,0.2668,2.1220
80,4.8482,,8.000000e-05,0.0702,0.5668,2.3442
34,4.9080,,3.400000e-05,0.0700,2.2495,2.4423
81,4.8487,,8.100000e-05,0.0702,0.5241,2.7242
190,4.8390,,1.900000e-04,0.0706,0.3075,2.8337
35,4.8726,,3.500000e-05,0.0700,2.1390,2.3614
191,4.8431,,1.910000e-04,0.0706,0.2654,2.7076
82,4.8610,,8.200000e-05,0.0702,0.5138,2.7213
36,4.8926,,3.600000e-05,0.0701,1.8482,4.1000
192,4.8514,,1.920000e-04,0.0706,0.3349,3.0819
83,4.8563,,8.300000e-05,0.0702,0.5041,3.1807
37,4.8620,,3.700000e-05,0.0701,2.4075,2.1120
193,4.8513,,1.930000e-04,0.0706,0.2755,2.4247
84,4.8601,,8.400000e-05,0.0702,0.4780,2.9908
38,4.8820,,3.800000e-05,0.0701,1.9647,2.7295
194,4.8558,,1.940000e-04,0.0706,0.3054,2.5584
85,4.8533,,8.500000e-05,0.0702,0.5492,2.4089
39,4.8634,,3.900000e-05,0.0701,1.5945,2.2638
195,4.8486,,1.950000e-04,0.0706,0.2962,2.7249
86,4.8576,,8.600000e-05,0.0702,0.4496,2.7662
40,4.8776,,4.000000e-05,0.0701,1.7665,3.4059
196,4.8395,,1.960000e-04,0.0706,0.2860,2.4411
87,4.8544,,8.700000e-05,0.0702,0.4827,2.1907
41,4.8860,,4.100000e-05,0.0701,1.5657,1.7013
197,4.8283,,1.970000e-04,0.0706,0.3654,2.2611
88,4.8517,,8.800000e-05,0.0702,0.4392,2.1560
42,4.8744,,4.200000e-05,0.0701,1.5722,2.2433
198,4.8520,,1.980000e-04,0.0706,0.2591,2.4700
89,4.8571,,8.900000e-05,0.0702,0.4581,2.6180
43,4.8765,,4.300000e-05,0.0701,1.3081,2.3494
199,4.8352,,1.990000e-04,0.0706,0.2965,2.3427
90,4.8491,,9.000000e-05,0.0702,0.3874,2.3659
44,4.8697,,4.400000e-05,0.0701,1.3225,2.7935
91,4.8512,,9.100000e-05,0.0702,0.4512,2.8266
45,4.8729,,4.500000e-05,0.0701,1.5260,2.6363
92,4.8593,,9.200000e-05,0.0702,0.3906,2.7438
46,4.8775,,4.600000e-05,0.0701,1.2514,2.6557
93,4.8503,,9.300000e-05,0.0702,0.4151,1.9782
47,4.8700,,4.700000e-05,0.0701,1.7128,2.0016
94,4.8504,,9.400000e-05,0.0702,0.3944,2.4423
48,4.8586,,4.800000e-05,0.0701,1.1848,2.2424
95,4.8652,,9.500000e-05,0.0702,0.4239,2.4376
49,4.8897,,4.900000e-05,0.0701,1.6106,2.6386
96,4.8396,,9.600000e-05,0.0703,0.4840,2.4385
50,4.8713,,5.000000e-05,0.0701,1.4522,3.0140
97,4.8567,,9.700000e-05,0.0703,0.3633,2.2221
51,4.8580,,5.100000e-05,0.0701,1.1421,0.9746
98,4.8549,,9.800000e-05,0.0703,0.3680,1.0507
